epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.052,1.16318,0.79094,0.99303,0.71824,0.00033284,0.00033284,0.00033284
2,37.8445,0.7478,0.8223,0.98955,0.54987,0.000600222,0.000600222,0.000600222
3,54.9712,0.57708,0.81185,1,0.46133,0.000801605,0.000801605,0.000801605
4,71.9979,0.47214,0.82578,1,0.43563,0.000703,0.000703,0.000703
5,89.0337,0.40328,0.82578,1,0.45164,0.000604,0.000604,0.000604
6,106.181,0.35099,0.88502,1,0.34929,0.000505,0.000505,0.000505
7,123.406,0.33912,0.90941,1,0.32957,0.000406,0.000406,0.000406
8,140.395,0.29589,0.91986,1,0.29704,0.000307,0.000307,0.000307
9,157.307,0.26488,0.88502,1,0.43528,0.000208,0.000208,0.000208
10,174.362,0.27647,0.90941,1,0.38261,0.000109,0.000109,0.000109
